Player Name,Player Number,Position,Matches,Total Minutes Played,Average Minutes,Total Goals,Total Assists,xG (expected goals),xA (expected assists),Pass Accuracy %,Successful Dribbles %,Duels Won %,Shot Accuracy %,Fouls Committed,Yellow Cards,Player's Role
L. Stritter,1,GK,15,1503,100.2,0,0,0,0,-,-,-,-,-,-,GOALKEEPER
S. Cutler-DeJesus,0,GK,2,197,98.5,0,0,0,0,-,-,-,-,-,-,GOALKEEPER
L. Laursen,5,RCB,17,1700,100,0,1,0,0.16,0.82,0.6,0.66,0,8,3,DEFENDER
I. Pilcher,22,LCB,17,1698,99.88,3,0,1,0.52,0.81,0.57,0.65,0.67,15,4,DEFENDER
D. Moore,3,LB,17,1448,85.18,2,0,1.85,1.32,0.74,0.6,0.59,0.43,12,4,DEFENDER
A. Fofana,2,RB,14,1004,71.71,0,0,0.19,0.42,0.78,0.75,0.57,0,8,3,DEFENDER
N. Scott,21,RB,15,501,33.4,0,0,0.05,0.45,0.74,0.17,0.65,0,8,0,DEFENDER
A. Evangelou,4,RB,1,23,23,0,0,0,0,0.57,0,0.4,0,1,0,DEFENDER
R. Tori,7,RCMF,17,1437,84.53,0,0,0.01,1.39,0.86,0.45,0.47,0,37,3,MIDFIELDER
M. Kirk,6,LCMF,17,1281,75.35,1,3,0.44,4.64,0.77,0.54,0.49,0.38,28,5,MIDFIELDER
S. Kolby,8,LDMF,17,834,49.06,2,0,1.65,0.23,0.76,0.35,0.45,0.69,11,2,MIDFIELDER
A. Traore,11,LAMF,4,86,21.5,0,0,0.01,0.1,0.68,0.62,0.47,0.5,0,1,MIDFIELDER
L. Husakiwsky,30,LCMF,14,562,40.14,0,1,0.07,0.21,0.79,0.33,0.52,0,6,2,MIDFIELDER
Z. Wood,27,RAMF,4,146,36.5,0,0,0,0,0.86,0.56,0.43,0,3,0,MIDFIELDER
J. Nyandjo,9,RW,16,1246,77.88,4,0,5.53,3.32,0.73,0.6,0.48,0.3,24,2,ATTACKER
B. Larsen,14,CF,17,1195,70.29,4,3,5.35,1.86,0.79,0.45,0.34,0.45,27,2,ATTACKER
B. Morales,10,LW,17,1189,69.94,4,1,4.58,1.11,0.76,0.55,0.4,0.45,14,1,ATTACKER
B. Dildy,17,LW,17,795,46.76,1,2,1.39,2.07,0.73,0.43,0.48,0.36,6,1,ATTACKER
N. Ogata,23,CF,17,647,38.06,2,0,1.35,0.62,0.76,0.42,0.36,0.33,7,0,ATTACKER
F. Jauk,15,CF,17,655,38.53,3,1,4.38,0.53,0.7,0.33,0.34,0.41,13,2,ATTACKER
L. Frost,18,RW,17,458,26.94,0,0,0.98,0.63,0.68,0.44,0.42,0.2,9,1,ATTACKER
G. Stewart,12,LW,9,102,11.33,0,0,0,0,0.85,0,0.37,0,0,0,ATTACKER
